paper_id,title,closure_branch,current_decision,closure_decision,evidence_basis,reason
ICLR2024-2070,Spike-driven Transformer V2: Meta Spiking Neural Network Architecture Inspiring the Design of Next-generation Neuromorphic Chips,spiking_transformer,reference,keep_reference,complete_official_title_and_abstract,"Major generic Spiking Transformer foundation, but no event-camera integration; use as focused background or classic bridge rather than an intersection anchor."
NeurIPS2024-0416,QKFormer: Hierarchical Spiking Transformer using Q-K Attention,spiking_transformer,reference,keep_reference,complete_official_title_and_abstract,"Strong generic directly trained SNN architecture, but the abstract provides no event-camera-specific method."
CVPR2024-1901,SpikingResformer: Bridging ResNet and Vision Transformer in Spiking Neural Networks,residual_and_transformer_snn,reference,keep_reference,complete_official_title_and_abstract,"Useful residual-to-Transformer bridge; generic ImageNet SNN evidence does not require Core admission."
ECCV2024-1484,Spiking Wavelet Transformer,frequency_aware_snn,reference,keep_reference,complete_official_title_and_abstract,"Important frequency-aware generic SNN comparator and Advisor evidence; neuromorphic datasets are evaluation only."
ICLR2024-0476,LMUFormer: Low Complexity Yet Powerful Spiking Model With Legendre Memory Units,long_range_spiking_memory,reference,keep_reference,complete_official_title_and_abstract,"Useful streaming-memory background but not designed for event-camera inputs."
ECCV2024-0096,Asynchronous Bioplausible Neuron for Spiking Neural Networks for Event-Based Vision,adaptive_neuron,reference,keep_reference,complete_official_title_and_abstract,"The contribution is a generic adaptive spiking neuron evaluated on image classification and segmentation; the abstract does not establish an event-camera pipeline."
NeurIPS2024-4091,Spiking Token Mixer: An event-driven friendly Former structure for spiking neural networks,asynchronous_hardware_compatible_snn,reference,keep_reference,complete_official_title_and_abstract,"Asynchronous-chip compatibility is useful efficiency background, but `event-driven` here does not mean event-camera input."
CVPR2025-0097,Spiking Transformer with Spatial-Temporal Attention,spiking_transformer_temporal_attention,reference,keep_reference,complete_official_title_and_abstract,"Generic Spiking Transformer; DVS datasets are benchmarks rather than an event-specific mechanism."
CVPR2025-2085,Rethinking Spiking Self-Attention Mechanism: Implementing a-XNOR Similarity Calculation in Spiking Transformers,spiking_attention,reference,keep_reference,complete_official_title_and_abstract,"Generic spike-train similarity mechanism; retain for architectural comparison."
CVPR2025-2494,Spiking Transformer: Introducing Accurate Addition-Only Spiking Self-Attention for Transformer,spiking_attention_efficiency,reference,keep_reference,complete_official_title_and_abstract,"Generic mixed-spike attention and operation-count evidence; no event-camera integration."
ICLR2025-0522,Quantized Spike-driven Transformer,spiking_transformer_quantization,reference,keep_reference,complete_official_title_and_abstract,"Relevant efficiency and deployment background, but generic SNN work."
NeurIPS2025-3455,Spiking Neural Networks Need High-Frequency Information,frequency_bias_in_snn,reference,keep_reference,complete_official_title_and_abstract,"Important SNN frequency-bias evidence and Advisor reference; it is not event-camera-specific."
CVPR2026-0399,Temporal Interaction in Spiking Transformers with Multi-Delay Mixer,spiking_transformer_temporal_modeling,reference,keep_reference,complete_official_title_and_abstract,"Generic temporal-mixing module; neuromorphic benchmark use alone is insufficient for Core."
ICLR2026-1982,Neural Dynamics Self-Attention for Spiking Transformers,spiking_attention_memory,reference,keep_reference,complete_official_title_and_abstract,"Generic attention-memory mechanism without event-camera input."
ICLR2026-3550,SMixer: Rethinking Efficient-Training and Event-Driven SNNs,asynchronous_hardware_compatible_snn,reference,keep_reference,complete_official_title_and_abstract,"Directly relevant to asynchronous compatibility and training efficiency, but generic SNN foundation."
ICLR2026-5125,TP-Spikformer: Token Pruned Spiking Transformer,spiking_transformer_pruning,reference,keep_reference,complete_official_title_and_abstract,"Event tracking is one evaluation task; token pruning is not an event-camera-specific contribution."
CVPR2026-2929,Rethinking SNN Online Training and Deployment: Gradient-Coherent Learning via Hybrid-Driven LIF Model,online_snn_training,reference,keep_reference,complete_official_title_and_abstract,"Closes the online-learning branch as generic SNN background; no event-camera method."
CVPR2025-1552,Graph Neural Network Combining Event Stream and Periodic Aggregation for Low-Latency Event-based Vision,graph_event_representation_and_asynchronous_execution,reference,promote_to_core_background,complete_official_title_and_abstract,"Directly compares asynchronous per-event graph processing with periodic context aggregation and reports latency/operation evidence on asynchronous hardware; it fills a real event-side representation and execution gap."
CVPR2025-1714,Towards Effective and Sparse Adversarial Attack on Spiking Neural Networks via Breaking Invisible Surrogate Gradients,event_snn_robustness,reference,keep_reference,complete_official_title_and_abstract,"Direct DVS/SNN robustness evidence, but peripheral to the main representation-architecture narrative and already covered by a raw-event attack Core paper."
ECCV2024-1737,REDIR: Refocus-free Event-based De-occlusion Image Reconstruction,event_snn_reconstruction,reference,keep_reference,complete_official_title_and_abstract,"Direct but highly specialized hybrid reconstruction; STLR and ClearSight provide broader reconstruction/restoration coverage."
ICLR2024-1097,SpikePoint: An Efficient Point-based Spiking Neural Network for Event Cameras Action Recognition,point_event_snn,core,keep_core,complete_official_title_and_abstract,"Direct sparse point-event and SNN intersection anchor."
ICML2025-2762,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,spiking_transformer_event_intersection,core,keep_core,complete_official_title_and_abstract,"Direct event-camera Spiking Transformer method with task and efficiency evidence."
CVPR2026-3630,SDTrack: A Baseline for Event-based Tracking via Spiking Neural Networks,fully_spike_driven_transformer_tracking,core,keep_core,complete_official_title_and_abstract,"Direct event-camera fully spike-driven Transformer tracker and energy evidence."
NeurIPS2025-5334,STEP: A Unified Spiking Transformer Evaluation Platform for Fair and Reproducible Benchmarking,spiking_transformer_evaluation,core,keep_core,complete_official_title_and_abstract,"Benchmark paper changes how Spiking Transformer accuracy and energy comparisons should be interpreted across static and event datasets."
