source_paper_key,source_paper,source_tracks,evidence_tier,related_paper_key,related_paper,relation_type,shared_problem_or_mechanism,survey_section,evidence_location,in_current_corpus,relation_verification_status
2025-NeurIPS-step-spiking-transformer-benchmark,STEP: A Unified Spiking Transformer Evaluation Platform for Fair and Reproducible Benchmarking,survey_core,strict,2022-arxiv-spikformer-when-spiking-neural-network-meets-transformer,Spikformer: When Spiking Neural Network Meets Transformer,foundation,spiking self-attention architecture and convolutional SPS contribution,Section 5: architecture and attention analysis,"Sections 4-5 and Appendix A.3-A.4, PDF pp.4-8 and 21-23, citation and bibliography [9]",no,verified_from_pdf
2025-NeurIPS-step-spiking-transformer-benchmark,STEP: A Unified Spiking Transformer Evaluation Platform for Fair and Reproducible Benchmarking,survey_core,strict,2023-NeurIPS-spike-driven-transformer,Spike-Driven Transformer,baseline,efficient spike-driven attention and multi-task Spiking Transformer evaluation,Section 5: architecture and attention analysis,"Sections 4-5, PDF pp.4-8, citation and bibliography [12]",no,verified_from_pdf
2025-NeurIPS-step-spiking-transformer-benchmark,STEP: A Unified Spiking Transformer Evaluation Platform for Fair and Reproducible Benchmarking,survey_core,strict,2024-arxiv-qkformer-hierarchical-spiking-transformer,QKFormer: Hierarchical Spiking Transformer Using QK Attention,baseline,hierarchical QK attention as a high-accuracy Spiking Transformer endpoint in reproduction and scaling experiments,Section 4: reproduction and ImageNet scaling,"Sections 4.1-4.2.1, PDF pp.4-5, citation and bibliography [10]",no,verified_from_pdf
2025-ICML-hybrid-spiking-vision-transformer-event-detection,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,survey_core,strict,2023-cvpr-recurrent-vision-transformers-for-object-detection-with-event-ca,Recurrent Vision Transformers for Object Detection with Event Cameras,baseline,multi-stage local/global spatial attention and recurrent event detection,Sections 3 and 5: hybrid architecture and detection,"Introduction, PDF p.2, citation Gehrig & Scaramuzza (2023); Experiments, PDF pp.6-9",no,verified_from_pdf
2025-ICML-hybrid-spiking-vision-transformer-event-detection,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,survey_core,strict,2023-iccv-get-group-event-transformer-event-based-vision,GET: Group Event Transformer for Event-Based Vision,alternative,event-based Transformer representation and spatiotemporal feature extraction,Sections 2 and 3: representation and architecture,"Introduction and Related Work 2.3, PDF pp.2-3, citation Peng et al. (2023)",no,verified_from_pdf
2025-ICML-hybrid-spiking-vision-transformer-event-detection,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,survey_core,strict,2023-tpami-sodformer-streaming-object-detection-events-frames,SODFormer: Streaming Object Detection with Transformer Using Events and Frames,same_task_different_mechanism,event-based Transformer detection with temporal cues,Section 5: event-based object detection,"Related Work 2.3, PDF p.3, citation Li et al. (2023)",no,verified_from_pdf
2025-ICML-hybrid-spiking-vision-transformer-event-detection,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,survey_core,strict,2025-arxiv-spikssd-better-extraction-fusion-object-detection-snn,SpikSSD: Better Extraction and Fusion for Object Detection with Spiking Neural Networks,contrasts_with,spiking event-based object detection and multi-scale fusion,Sections 3 and 5: hybrid versus fully spiking detection,"Related Work 2.3, PDF p.3, citation Fan et al. (2025); Table 7, PDF p.9",no,verified_from_pdf
2025-ICML-hybrid-spiking-vision-transformer-event-detection,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,survey_core,strict,2025-tcds-spikingvit-multiscale-spiking-vision-transformer-event-detection,SpikingViT: A Multiscale Spiking Vision Transformer Model for Event-Based Object Detection,baseline,spiking Transformer for event-based object detection,Sections 3 and 5: spiking Transformer detection,"Related Work 2.3, PDF p.3, citation Yu et al. (2025); Table 7, PDF p.9",no,verified_from_pdf
2025-ICML-hybrid-spiking-vision-transformer-event-detection,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,survey_core,strict,2018-corl-esim-open-event-camera-simulator,ESIM: an Open Event Camera Simulator,foundation,synthetic event generation from visual data,Section 2: datasets and simulation,"Sample Processing 3.1, PDF p.3, citation Rebecq et al. (2018)",no,verified_from_pdf
2024-CVPR-pepnet-event-camera-6dofs-pose-relocalization,A Simple and Effective Point-based Network for Event Camera 6-DOFs Pose Relocalization,survey_advisor_core,strict,2017-neurips-pointnet-deep-hierarchical-feature-learning-on-point-sets-in-a-m,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,foundation,hierarchical sparse point abstraction,Section 2: event representation,"Related Work 2.3, PDF p.3, citation and bibliography [29]",no,verified_from_pdf
2024-CVPR-pepnet-event-camera-6dofs-pose-relocalization,A Simple and Effective Point-based Network for Event Camera 6-DOFs Pose Relocalization,survey_advisor_core,strict,2019-wacv-space-time-event-clouds-for-gesture-recognition-from-rgb-cameras,Space-Time Event Clouds for Gesture Recognition: From RGB Cameras to Event Cameras,extends,Event Cloud point processing,Sections 2 and 5: representation and pose,"Related Work 2.3, PDF p.3, citation and bibliography [40]",no,verified_from_pdf
2024-CVPR-pepnet-event-camera-6dofs-pose-relocalization,A Simple and Effective Point-based Network for Event Camera 6-DOFs Pose Relocalization,survey_advisor_core,strict,2019-cvprw-real-time-6dof-pose-relocalization-for-event-cameras-with-stacke,Real-time 6DOF Pose Relocalization for Event Cameras with Stacked Spatial LSTM Networks,baseline,event-camera pose relocalization,Section 5: pose relocalization,"Related Work 2.2 and Experiments 4.2, PDF pp.2 and 6, citation and bibliography [26]",no,verified_from_pdf
2024-ICML-clif-complementary-lif-neuron,CLIF: Complementary Leaky Integrate-and-Fire Neuron for Spiking Neural Networks,survey_core,strict,2021-iccv-incorporating-learnable-membrane-time-constant-to-enhance-learni,Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks,alternative,trainable versus complementary neuron dynamics,Section 3: neuron dynamics and training,"Related Work 2 and Experiments 5.2, PDF pp.3 and 7, Fang et al. 2021b bibliography entry",no,verified_from_pdf
2024-ICML-clif-complementary-lif-neuron,CLIF: Complementary Leaky Integrate-and-Fire Neuron for Spiking Neural Networks,survey_core,strict,2022-neurips-glif-a-unified-gated-leaky-integrate-and-fire-neuron-for-spiking,GLIF: A Unified Gated Leaky Integrate-and-Fire Neuron for Spiking Neural Networks,alternative,gated versus parameter-free temporal dynamics,Section 3: neuron dynamics and training,"Related Work 2 and Experiments 5.2, PDF pp.3 and 7, Yao et al. 2022 bibliography entry",no,verified_from_pdf
2024-ICML-clif-complementary-lif-neuron,CLIF: Complementary Leaky Integrate-and-Fire Neuron for Spiking Neural Networks,survey_core,strict,2023-neurips-spatial-learning-through-time-efficient-training-of-deep-spiking,Spatial Learning Through Time: Efficient Training of Deep Spiking Neural Networks,contrasts_with,temporal-gradient handling in BPTT,Section 3: temporal credit assignment,"Related Work 2, PDF p.3, Meng et al. 2023 bibliography entry",no,verified_from_pdf
2024-NeurIPS-continuous-spatiotemporal-events-decoupling,Continuous Spatiotemporal Events Decoupling through Spike-based Bayesian Computation,survey_core,strict,2018-cvpr-a-unifying-contrast-maximization-framework-for-event-cameras-wit,"A Unifying Contrast Maximization Framework for Event Cameras, with Applications to Motion, Depth, and Optical Flow Estimation",foundation,IWE contrast maximization for motion,Sections 4 and 5: optimization-inspired SNN and motion segmentation,"Introduction, PDF p.2, citation and bibliography [14]",no,verified_from_pdf
2024-NeurIPS-continuous-spatiotemporal-events-decoupling,Continuous Spatiotemporal Events Decoupling through Spike-based Bayesian Computation,survey_core,strict,2009-neurips-stdp-enables-spiking-neurons-to-detect-hidden-causes-of-their-in,STDP Enables Spiking Neurons to Detect Hidden Causes of Their Inputs,foundation,STDP as latent-cause inference,Sections 3 and 4: local learning and Bayesian SNN,"Introduction and Related Work, PDF pp.2-3, citation and bibliography [29]",no,verified_from_pdf
2024-NeurIPS-continuous-spatiotemporal-events-decoupling,Continuous Spatiotemporal Events Decoupling through Spike-based Bayesian Computation,survey_core,strict,2021-tnnls-event-based-motion-segmentation-with-spatio-temporal-graph-cuts,Event-based Motion Segmentation with Spatio-temporal Graph Cuts,same_task_different_mechanism,event motion segmentation,Section 5: motion segmentation,"Related Work, PDF p.3, citation and bibliography [44]",no,verified_from_pdf
2024-ECCV-eas-snn-adaptive-sampling-detection,EAS-SNN: End-to-End Adaptive Sampling and Representation for Event-based Detection with Recurrent Spiking Neural Networks,survey_core,strict,2023-iccv-from-chaos-comes-order-ordering-event-representations-for-object,From Chaos Comes Order: Ordering Event Representations for Object Recognition and Detection,contrasts_with,adaptive event window and representation,Sections 2 and 4: adaptive slicing and SNN-event interface,"Related Work 2, PDF p.4, citation and bibliography [75]",no,verified_from_pdf
2024-ECCV-eas-snn-adaptive-sampling-detection,EAS-SNN: End-to-End Adaptive Sampling and Representation for Event-based Detection with Recurrent Spiking Neural Networks,survey_core,strict,2023-cvpr-recurrent-vision-transformers-for-object-detection-with-event-ca,Recurrent Vision Transformers for Object Detection with Event Cameras,baseline,stateful event detection,Section 5: detection,"Experiments Tables 2-3, PDF pp.11-12, citation and bibliography [21]",no,verified_from_pdf
2024-ECCV-eas-snn-adaptive-sampling-detection,EAS-SNN: End-to-End Adaptive Sampling and Representation for Event-based Detection with Recurrent Spiking Neural Networks,survey_core,strict,2022-tip-asynchronous-spatio-temporal-memory-network-for-continuous-event,Asynchronous Spatio-Temporal Memory Network for Continuous Event-Based Object Detection,baseline,temporal event representation for detection,Sections 2 and 5: representation and detection,"Related Work and Experiments, PDF pp.3 and 12, citation and bibliography [35]",no,verified_from_pdf
2024-ECCV-efficient-event-dense-representation-adaptive-memory,Efficient Learning of Event-based Dense Representation using Hierarchical Memories with Adaptive Update,survey_core,strict,2023-cvpr-hierarchical-neural-memory-network-for-low-latency-event-process,Hierarchical Neural Memory Network for Low Latency Event Processing,extends,hierarchical event memory updates,Sections 2 and 6: dense representation and conditional computation,"Introduction, Related Work and Experiments, PDF pp.2-4 and 10-12, citation and bibliography [17]",no,verified_from_pdf
2024-ECCV-efficient-event-dense-representation-adaptive-memory,Efficient Learning of Event-based Dense Representation using Hierarchical Memories with Adaptive Update,survey_core,strict,2020-eccv-matrix-lstm-a-differentiable-recurrent-surface-for-asynchronous,Matrix-LSTM: A Differentiable Recurrent Surface for Asynchronous Event-Based Data,alternative,stateful event representation,Section 2: event representation,"Related Work 2, PDF p.4, citation and bibliography [7]",no,verified_from_pdf
2024-ECCV-efficient-event-dense-representation-adaptive-memory,Efficient Learning of Event-based Dense Representation using Hierarchical Memories with Adaptive Update,survey_core,strict,2023-iclr-associative-memory-augmented-asynchronous-spatiotemporal-represe,Associative Memory Augmented Asynchronous Spatiotemporal Representation Learning for Event-based Perception,same_task_different_mechanism,memory-based event representation,Section 2: event representation,"Introduction and Related Work, PDF pp.2 and 4, citation and bibliography [21]",no,verified_from_pdf
2024-ICLR-eventrpg,EventRPG: Event Data Augmentation with Relevance Propagation Guidance,survey_core,strict,2015-plos-one-on-pixel-wise-explanations-for-non-linear-classifier-decisions-b,On Pixel-Wise Explanations for Non-Linear Classifier Decisions by Layer-Wise Relevance Propagation,foundation,relevance conservation and saliency,Sections 3 and 4: SNN interpretability and training,"Introduction and Preliminary, PDF pp.1-2, Bach et al. 2015 bibliography entry",no,verified_from_pdf
2024-ICLR-eventrpg,EventRPG: Event Data Augmentation with Relevance Propagation Guidance,survey_core,strict,2021-scientific-reports-visual-explanations-spiking-neural-networks-inter-spike-intervals,Visual Explanations from Spiking Neural Networks Using Inter-Spike Intervals,extends,SNN saliency maps,Section 3: SNN interpretability,"Introduction and Experiments 5.1, PDF pp.2 and 9-10, Kim and Panda 2021b bibliography entry",no,verified_from_pdf
2024-ICLR-eventrpg,EventRPG: Event Data Augmentation with Relevance Propagation Guidance,survey_core,strict,2023-information-sciences-eventmix-an-efficient-data-augmentation-strategy-for-event-based,EventMix: An Efficient Data Augmentation Strategy for Event-Based Learning,baseline,event-stream mixing augmentation,Section 4: event-SNN training,"Introduction and Experiments Table 3, PDF pp.2 and 11, Shen et al. 2023 bibliography entry",no,verified_from_pdf
2024-ECCV-direct-adversarial-attacks-raw-event-data,Exploring Vulnerabilities in Spiking Neural Networks: Direct Adversarial Attacks on Raw Event Data,survey_core,strict,2021-arxiv-adversarial-attacks-on-spiking-convolutional-neural-networks-for,Adversarial Attacks on Spiking Convolutional Neural Networks for Event-based Vision,baseline,discrete spike/event adversarial perturbation,Section 6: robustness and security,"Related Work 2 and Experiments, PDF pp.3 and 11, citation and bibliography [6]",no,verified_from_pdf
2024-ECCV-direct-adversarial-attacks-raw-event-data,Exploring Vulnerabilities in Spiking Neural Networks: Direct Adversarial Attacks on Raw Event Data,survey_core,strict,2021-tnnls-exploring-adversarial-attack-in-spiking-neural-networks-with-spi,Exploring Adversarial Attack in Spiking Neural Networks with Spike-Compatible Gradient,baseline,binary spike tensor attack,Section 6: robustness and security,"Related Work 2, PDF p.3, citation and bibliography [26]",no,verified_from_pdf
2024-ECCV-direct-adversarial-attacks-raw-event-data,Exploring Vulnerabilities in Spiking Neural Networks: Direct Adversarial Attacks on Raw Event Data,survey_core,strict,2016-arxiv-categorical-reparameterization-with-gumbel-softmax,Categorical Reparameterization with Gumbel-Softmax,foundation,categorical relaxation for event edits,Section 6: robustness and security,"Method 3.2, PDF pp.5-6, citation and bibliography [21]",no,verified_from_pdf
2024-CVPR-sfod,SFOD: Spiking Fusion Object Detector,survey_core,strict,2022-ijcnn-object-detection-with-spiking-neural-networks-on-automotive-even,Object Detection with Spiking Neural Networks on Automotive Event Data,extends,SNN event detection backbone and head,Sections 4 and 5: topology and detection,"Introduction and Method, PDF pp.2 and 4, citation and bibliography [9]",no,verified_from_pdf
2024-CVPR-sfod,SFOD: Spiking Fusion Object Detector,survey_core,strict,2021-iccv-incorporating-learnable-membrane-time-constant-to-enhance-learni,Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks,foundation,PLIF neuron dynamics,Section 3: neuron dynamics,"Method 3.1, PDF p.4, citation and bibliography [12]",no,verified_from_pdf
2024-CVPR-sfod,SFOD: Spiking Fusion Object Detector,survey_core,strict,2023-iccv-deep-directly-trained-spiking-neural-networks-object-detection,Deep Directly-Trained Spiking Neural Networks for Object Detection,baseline,SNN event-camera object detection,Section 5: detection,"Experiments Table 5, PDF p.8, EMS-YOLO model, citation and bibliography [41]",no,verified_from_pdf
2024-ECCV-spike-temporal-latent-representation,Spike-Temporal Latent Representation for Energy-Efficient Event-to-Video Reconstruction,survey_core,strict,2004-communications-on-pure-and-applied-mathematics-an-iterative-thresholding-algorithm-for-linear-inverse-problems,An Iterative Thresholding Algorithm for Linear Inverse Problems with a Sparsity Constraint,foundation,unfolded sparse coding,Sections 4 and 5: optimization-inspired SNN and reconstruction,"Method 3.1, PDF pp.4-5, citation and bibliography [5]",no,verified_from_pdf
2024-ECCV-spike-temporal-latent-representation,Spike-Temporal Latent Representation for Energy-Efficient Event-to-Video Reconstruction,survey_core,strict,2015-tpami-learning-efficient-sparse-and-low-rank-models,Learning Efficient Sparse and Low Rank Models,foundation,unfolded sparse coding,Sections 4 and 5: optimization-inspired SNN and reconstruction,"Method 3.1, PDF pp.4-5, citation and bibliography [32]",no,verified_from_pdf
2024-ECCV-spike-temporal-latent-representation,Spike-Temporal Latent Representation for Energy-Efficient Event-to-Video Reconstruction,survey_core,strict,2019-cvpr-events-to-video-bringing-modern-computer-vision-to-event-cameras,Events-to-Video: Bringing Modern Computer Vision to Event Cameras,baseline,event-to-video reconstruction,Section 5: reconstruction,"Related Work and Experiments, PDF pp.3 and 10, citation and bibliography [28]",no,verified_from_pdf
2024-ECCV-spike-temporal-latent-representation,Spike-Temporal Latent Representation for Energy-Efficient Event-to-Video Reconstruction,survey_core,strict,2020-wacv-fast-image-reconstruction-with-an-event-camera,Fast Image Reconstruction with an Event Camera,baseline,lightweight recurrent reconstruction,Sections 5 and 6: reconstruction and efficiency,"Related Work and Experiments Table 1, PDF pp.3 and 10, citation and bibliography [30]",no,verified_from_pdf
2024-ICLR-spikepoint,SpikePoint: An Efficient Point-based Spiking Neural Network for Event Cameras Action Recognition,survey_advisor_core,strict,2017-neurips-pointnet-deep-hierarchical-feature-learning-on-point-sets-in-a-m,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,foundation,hierarchical Event Cloud grouping,Sections 2 and 4: representation and SNN integration,"Related Work and Method, PDF pp.2-4, citation and bibliography [24]",no,verified_from_pdf
2024-ICLR-spikepoint,SpikePoint: An Efficient Point-based Spiking Neural Network for Event Cameras Action Recognition,survey_advisor_core,strict,2023-ACMMM-ttpoint,TTPOINT: A Tensorized Point Cloud Network for Lightweight Action Recognition with Event Cameras,baseline,point-based event action recognition,Sections 4 and 5: ANN-SNN comparison and action recognition,"Related Work and Experiments, PDF pp.3 and 8, citation and bibliography [33]",no,verified_from_pdf
2024-ICLR-spikepoint,SpikePoint: An Efficient Point-based Spiking Neural Network for Event Cameras Action Recognition,survey_advisor_core,strict,2019-cvpr-modeling-point-clouds-with-self-attention-and-gumbel-subset-samp,Modeling Point Clouds with Self-Attention and Gumbel Subset Sampling,alternative,point subset selection and feature modeling,Sections 2 and 4: sparse representation and SNN integration,"Related Work, PDF p.3, citation and bibliography [37]",no,verified_from_pdf
2024-NeurIPS-spikeslicer,Spiking Neural Network as Adaptive Event Stream Slicer,survey_core,strict,2023-aaai-better-and-faster-adaptive-event-conversion-for-event-based-object-detection,Better and Faster: Adaptive Event Conversion for Event-based Object Detection,same_task_different_mechanism,adaptive event conversion and task-aware event windows,Sections 2 and 4: slicing and hybrid interface,"Related Work 2, PDF p.3, citation and bibliography [13]",no,verified_from_pdf
2024-NeurIPS-spikeslicer,Spiking Neural Network as Adaptive Event Stream Slicer,survey_core,strict,2022-tip-asynchronous-spatio-temporal-memory-network-for-continuous-event,Asynchronous Spatio-Temporal Memory Network for Continuous Event-Based Object Detection,same_task_different_mechanism,adaptive event sampling and temporal event processing,Sections 2 and 4: slicing and hybrid interface,"Related Work 2, PDF p.3, citation and bibliography [14]",no,verified_from_pdf
2023-TCSVT-vmst-net,Voxel-Based Multi-Scale Transformer Network for Event Stream Processing,historical_reference,lightweight,2019-iccv-end-to-end-learning-of-representations-for-asynchronous-event-ba,End-to-End Learning of Representations for Asynchronous Event-Based Data,alternative,learned dense versus sparse voxel representation,Section 2: event representation,"Related Work, PDF pp.2-3, citation and bibliography [27]",no,verified_from_pdf
2023-TCSVT-vmst-net,Voxel-Based Multi-Scale Transformer Network for Event Stream Processing,historical_reference,lightweight,2017-neurips-pointnet-deep-hierarchical-feature-learning-on-point-sets-in-a-m,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,foundation,hierarchical sparse grouping,Section 2: event representation,"Related Work and Method, PDF pp.3-5, citation and bibliography [44]",no,verified_from_pdf
2023-TPAMI-action-recognition-benchmark-event-cameras,Action Recognition and Benchmark Using Event Cameras,historical_reference,lightweight,2019-iccv-end-to-end-learning-of-representations-for-asynchronous-event-ba,End-to-End Learning of Representations for Asynchronous Event-Based Data,baseline,learned event representation,Sections 2 and 5: representation and action recognition,"Related Work and Experiments, PDF pp.3 and 9, citation and bibliography [35]",no,verified_from_pdf
2023-TPAMI-action-recognition-benchmark-event-cameras,Action Recognition and Benchmark Using Event Cameras,historical_reference,lightweight,2019-iccv-slowfast-networks-for-video-recognition,SlowFast Networks for Video Recognition,foundation,multi-rate temporal modeling,Section 5: action recognition,"Method, PDF pp.5-6, citation and bibliography [24]",no,verified_from_pdf
2024-CVPR-state-space-models-event-cameras,State Space Models for Event Cameras,historical_reference,lightweight,2022-iclr-efficiently-modeling-long-sequences-with-structured-state-spaces,Efficiently Modeling Long Sequences with Structured State Spaces,foundation,continuous-time structured state spaces,Sections 3 and 6: temporal modeling and comparison,"Related Work and Method, PDF pp.2-4, citation and bibliography [16]",no,verified_from_pdf
2024-CVPR-state-space-models-event-cameras,State Space Models for Event Cameras,historical_reference,lightweight,2022-neurips-on-the-parameterization-and-initialization-of-diagonal-state-spa,On the Parameterization and Initialization of Diagonal State Space Models,foundation,continuous-time structured state spaces,Sections 3 and 6: temporal modeling and comparison,"Related Work and Method, PDF pp.2-4, citation and bibliography [15]",no,verified_from_pdf
2024-CVPR-state-space-models-event-cameras,State Space Models for Event Cameras,historical_reference,lightweight,2023-iclr-simplified-state-space-layers-for-sequence-modeling,Simplified State Space Layers for Sequence Modeling,extends,shared MIMO state and parallel scan,Sections 3 and 6: temporal modeling and comparison,"Method and Experiments, PDF pp.4 and 8, citation and bibliography [36]",no,verified_from_pdf
2024-CVPR-state-space-models-event-cameras,State Space Models for Event Cameras,historical_reference,lightweight,2023-cvpr-recurrent-vision-transformers-for-object-detection-with-event-ca,Recurrent Vision Transformers for Object Detection with Event Cameras,baseline,stateful event detection,Section 5: detection,"Related Work and Experiments, PDF pp.3 and 7, citation and bibliography [12]",no,verified_from_pdf
2024-ECCV-dailydvs-200,DailyDVS-200: A Comprehensive Benchmark Dataset for Event-Based Action Recognition,historical_reference,lightweight,2017-cvpr-a-low-power-fully-event-based-gesture-recognition-system,"A Low Power, Fully Event-Based Gesture Recognition System",foundation,real-world event gesture benchmark,Sections 5 and 6: action datasets and robustness,"Introduction and Related Work, PDF pp.2-3, citation and bibliography [1]",no,verified_from_pdf
