paper_id,title,year,venue,survey_role,survey_topics,survey_reason,advisor_role,advisor_topics,advisor_reason,reading_status,evidence_source,needs_pdf_check
CVPR2026-1573,Adaptive Spatial-Temporal Window: Unlocking the Potential of Event Cameras in Heterogeneous Velocity Scenarios,2026,CVPR,background,representation_slicing;detection;tracking;datasets_benchmarks,"ASTW directly addresses adaptive event partitioning under heterogeneous velocity, a core event-side interface issue but not an SNN.",method_chain,grouping_sampling;datasets;task_generalization;scalability_efficiency,Adaptive spatial-temporal grouping is directly aligned with SECNet's Event Cloud sampling axis.,survey_core,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3465,AIMDepth: Asymmetric Image-Event Mamba for Monocular Depth Estimation,2026,CVPR,background,pose_depth_segmentation;temporal_modeling;architecture,AIMDepth is event-image Mamba depth background without SNNs.,method_chain,ssm_mamba_memory;frequency;task_generalization,Its spectral cross-modal priors and Mamba architecture directly support the advisor method chain.,advisor_helpful,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-4013,ARES: Unifying Asymmetric RGB-Event Stereo for Probabilistic Scene Flow Estimation,2026,CVPR,background,pose_depth_segmentation;temporal_modeling,ARES supplies non-spiking RGB-event stereo and scene-flow modeling background.,watch,task_generalization,Scene flow is a possible but distant dense-task extension.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2514,Beyond Duality: A Hybrid Framework of Leveraging Shared and Private Features for RGB-Event Object Detection,2026,CVPR,background,detection;representation_slicing,SPFD gives non-spiking frequency-domain RGB-event feature disentanglement for detection.,method_chain,frequency;task_generalization,Its spectral shared/private decomposition closely relates to SECNet's frequency-aware direction.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1217,Bidirectional Cross-Modal Prompting for Event-Frame Asymmetric Stereo,2026,CVPR,background,pose_depth_segmentation;learning,Cross-modal event-frame stereo prompting is non-spiking transfer background.,watch,task_generalization,It offers a modality-alignment technique for dense tasks.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3561,DarkShake-DVS: Event-based Human Action Recognition under Low-light and Shaking Camera Conditions,2026,CVPR,background,classification_recognition;datasets_benchmarks;robustness_open_challenges,"DarkShake-DVS supplies event-side action-recognition robustness and a real benchmark, but no explicit SNN.",discussion,datasets;task_generalization,Low-light and camera-motion robustness are strong real-world evaluation axes.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1239,Depth Hypothesis Guided Iterative Refinement for Event-Image Monocular Depth Estimation,2026,CVPR,background,pose_depth_segmentation;efficiency_hardware,HypoDepth is non-spiking event-image depth background with real-time efficiency.,watch,task_generalization;scalability_efficiency,It provides a compact dense-task comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3157,"DSERT-RoLL: Robust Multi-Modal Perception for Diverse Driving Conditions with Stereo Event-RGB-Thermal Cameras, 4D Radar, and Dual-LiDAR",2026,CVPR,background,datasets_benchmarks;detection;robustness_open_challenges,"DSERT-RoLL is an event-inclusive multimodal driving benchmark, useful for event-side evaluation but non-spiking.",discussion,datasets;task_generalization,Its diverse sensor/weather benchmark offers a serious robustness extension setting.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2053,E-3DPSM: A State Machine for Event-based Egocentric 3D Human Pose Estimation,2026,CVPR,background,pose_depth_segmentation;temporal_modeling,E-3DPSM provides event-side continuous state-machine pose modeling but no SNN.,discussion,ssm_mamba_memory;task_generalization,Continuous latent-state updates are a useful temporal/task comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0881,Event Stream Filtering via Probability Flux Estimation,2026,CVPR,background,robustness_open_challenges;representation_slicing;datasets_benchmarks,"EDFilter contributes physically interpretable event noise filtering and a microsecond ground-truth dataset, without SNNs.",discussion,polarity;datasets;scalability_efficiency,Polarity/timing-aware denoising is relevant to robust SECNet inputs.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
