title,year,venue,axis,taxonomy_branch,priority,recommended_artifact,why_needed,source_evidence,verification_status
Event-based Vision: A Survey,2022,IEEE TPAMI,foundation,scope_and_sensor_semantics,essential,writing_reference,"Canonical event-camera survey for terminology, history, and survey organization; not a substitute for recent evidence.","Deep Learning for Event-based Vision ref. [1]; Recent Event Camera Innovations historical survey discussion",verified_from_survey_bibliography
End-to-end Learning of Representations for Asynchronous Event-based Data,2019,ICCV,event_camera,learned_representation,essential,focused_v2,"Introduces the differentiable Event Spike Tensor lineage and anchors learned event representations.","Deep Learning for Event-based Vision Sec. 2.1 and ref. [29]",verified_from_survey_bibliography
A Differentiable Recurrent Surface for Asynchronous Event-Based Data,2020,ECCV,event_camera,learned_surface_representation,useful,evidence_card,"Matrix-LSTM is a representative recurrent event surface and clarifies learned temporal aggregation before the SNN.","Deep Learning for Event-based Vision Sec. 2.1 and ref. [30]",verified_from_survey_bibliography
HOTS: A Hierarchy of Event-Based Time-Surfaces for Pattern Recognition,2016,IEEE TPAMI,event_camera,time_surface,useful,evidence_card,"Provides the classic time-surface lineage needed to compare surface representations with voxels and points.","Deep Learning for Event-based Vision ref. [33]",verified_from_survey_bibliography
HATS: Histograms of Averaged Time Surfaces for Robust Event-Based Object Classification,2018,CVPR,event_camera,time_surface,useful,evidence_card,"Representative robust hand-designed event representation and dataset-era milestone.","Deep Learning for Event-based Vision ref. [35]; Recent Event Camera Innovations ref. [235]",verified_from_survey_bibliography
Unsupervised Event-Based Optical Flow Using Motion Compensation,2018,ECCV Workshop,event_camera,voxel_representation,essential,evidence_card,"Anchors the commonly reused linearly accumulated spatiotemporal voxel-grid representation.","Deep Learning for Event-based Vision Sec. 2.1 and ref. [39]",verified_from_survey_bibliography
Graph-Based Spatio-Temporal Feature Learning for Neuromorphic Vision Sensing,2020,IEEE TIP,event_camera,graph_representation,useful,evidence_card,"Representative sparse graph event representation before recent point/Event Cloud approaches.","Deep Learning for Event-based Vision ref. [42]",verified_from_survey_bibliography
Time-Ordered Recent Event Volumes for Event Cameras,2022,IEEE TPAMI,event_camera,time_surface_volume,useful,evidence_card,"TORE preserves recent temporal order and supplies a strong temporal-volume comparator.","Deep Learning for Event-based Vision ref. [3]",verified_from_survey_bibliography
Surrogate Gradient Learning in Spiking Neural Networks: Bringing the Power of Gradient-Based Optimization to Spiking Neural Networks,2019,IEEE Signal Processing Magazine,snn,surrogate_gradient,essential,focused_v2,"Canonical explanation of surrogate-gradient training and its assumptions.","Direct Training Review bibliography",verified_from_survey_bibliography
Spatio-Temporal Backpropagation for Training High-Performance Spiking Neural Networks,2018,Frontiers in Neuroscience,snn,stbp,essential,evidence_card,"Anchors joint spatial-temporal credit assignment in directly trained SNNs.","Direct Training Review Sec. 3.2 and bibliography",verified_from_survey_bibliography
SLAYER: Spike Layer Error Reassignment in Time,2018,NeurIPS,snn,surrogate_gradient_bptt,useful,evidence_card,"Representative early deep-SNN temporal backpropagation method.","Direct Training Review bibliography",verified_from_survey_bibliography
Deep Residual Learning in Spiking Neural Networks,2021,NeurIPS,snn,residual_snn,essential,focused_v2,"SEW-ResNet is the key residual-SNN scaling bridge needed before Transformer-era architectures.","Direct Training Review Sec. 4.2 and bibliography",verified_from_survey_bibliography
Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks,2021,ICCV,snn,learnable_neuron_dynamics,useful,evidence_card,"PLIF is a representative learnable-neuron mechanism widely reused on DVS benchmarks.","Direct Training Review neuron table and bibliography",verified_from_survey_bibliography
Temporal Efficient Training of Spiking Neural Network via Gradient Re-weighting,2022,ICLR,snn,temporal_training,essential,evidence_card,"TET is a representative objective for multi-timestep optimization and temporal generalization.","Direct Training Review Sec. 3.2 and bibliography",verified_from_survey_bibliography
Spikformer: When Spiking Neural Network Meets Transformer,2023,ICLR,snn,spiking_transformer,essential,focused_v2,"Establishes the modern directly trained Spiking Transformer lineage.","Direct Training Review Sec. 4.1 and bibliography",verified_from_survey_bibliography
