blind_order,pilot_case,paper_id,canonical_title,annotation_units,evidence_pages,round2_reason,time_axis_recheck,round1_scope,round2_scope,scope_match,round1_directness,round2_directness,directness_match,round1_primary,round2_primary,primary_match,round1_extent_signature,round2_extent_signature,extent_match,round1_selection,round2_selection,selection_match,disagreement_disposition,codebook_version,annotator,recorded_at
1,24,NeurIPS2024-2307,PPLNs: Parametric Piecewise Linear Networks for Event-Based Temporal Modeling and Beyond,paper::main::inference,PDF pp.2-5 and 14,Real-valued PPLN functions replace convolution/MLP operators and explicitly differ from binary-spike SNN communication.,queried continuous function time; no SNN simulation step,event_camera_foundation,event_camera_foundation,yes,single_axis,single_axis,yes,not_applicable,not_applicable,yes,non_spiking,non_spiking,yes,reference_only,reference_only,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
2,13,NeurIPS2024-1436,Continuous Spatiotemporal Events Decoupling through Spike-based Bayesian Computation,paper::main::inference,PDF pp.4-9,"WTA firing implements responsibilities/E-step and STDP updates motion parameters/M-step, while warping, TPE/SVD initialization and numerical IWE operations remain continuous.",fixed-count chronological event packets; WTA/STDP EM iterations occur within each packet,core_intersection,core_intersection,yes,method_coupled,method_coupled,yes,algorithmic_engine,algorithmic_engine,yes,hybrid_subnetwork,hybrid_subnetwork,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
3,04,CVPR2026-1873,Spike-driven Discrete Aggregation for Event-based Object Detection,paper::sda_spiking_detector::inference;paper::sda_mtf_spiking_detector::inference;paper::sda_ann_detector::inference;paper::sda_mtf_ann_detector::inference,PDF pp.3-7,Gated recurrent spiking neurons select events and emit an aggregated representation for either a fully spiking detector or conventional ANN detector variants.,fixed early slices at delta_ta; local spike-selected intervals and detector T=3 are distinct axes,core_intersection,core_intersection,yes,method_coupled,method_coupled,yes,event_interface,event_interface,yes,fully_spiking_task_network;hybrid_subnetwork,fully_spiking_task_network;hybrid_subnetwork,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
4,29,ICLR2026-1286,Time Is All It Takes: Spike-Retiming Attacks on Event-Driven Spiking Neural Networks,paper::main::training_analysis,PDF pp.3-10,"The contribution is a timing-only attack on event-grid inputs to existing SNN victims, not a new inference topology.",raw camera events are binned; the attack retimes input-grid packets and grid index drives the victim SNN step,core_intersection,core_intersection,yes,event_specific_training_analysis,event_specific_training_analysis,yes,not_applicable,not_applicable,yes,not_applicable,not_applicable,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
5,06,NeurIPS2025-0641,FLAME: Fast Long-context Adaptive Memory for Event-based Vision,paper::main::inference,PDF pp.4-6 and 10,"The LIF front-end emits a new explicit event train, then pooling hands it to a continuous EA-HiPPO principal model; the codebook's handoff contract favors event_interface over embedded_module.",native event timestamps and inter-event intervals drive EAL and continuous SSM updates; no required fixed SNN clock,core_intersection,core_intersection,yes,method_coupled,method_coupled,yes,embedded_module,event_interface,no,hybrid_subnetwork,hybrid_subnetwork,yes,proposed_usable,proposed_usable,yes,retain_round1_pending_astra;existing_FL-I1_captures_role_conflict,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
6,22,ECCV2024-0096,Asynchronous Bioplausible Neuron for Spiking Neural Networks for Event-Based Vision,paper::main::inference,PDF pp.6-10 and 12-14,Direct event input drives a spiking MLP whose adaptive LIF/SRM neurons perform the classification and event-wise segmentation task path.,asynchronous camera events directly supply first-layer spikes; neuron state and adaptive threshold update over event time,core_intersection,core_intersection,yes,method_coupled,method_coupled,yes,task_network,task_network,yes,fully_spiking_task_network,fully_spiking_task_network,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
7,12,CVPR2026-1798,SpikeTrack: High-performance and Energy-efficient Event-Based Object Tracking with Spiking Neural Network,paper::main::inference,PDF pp.3-7,"I-LIF convolution and tracking head plus DI-LIF transformer carry the principal tracking path, but final learned numerical prediction convolutions prevent a fully-spiking-task-network label.",physical event period becomes n-bin frames; ordered template/search frames drive SNN states and MSST sequence positions,core_intersection,core_intersection,yes,method_coupled,method_coupled,yes,task_network,task_network,yes,fully_spiking_backbone,fully_spiking_backbone,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
8,03,ECCV2024-1168,EAS-SNN: End-to-End Adaptive Sampling and Representation for Event-based Detection with Recurrent Spiking Neural Networks,paper::fully_spiking_detector::inference;paper::spiking_backbone_fpn_ann_head::inference;paper::spiking_backbone_ann_fpn_head::inference;paper::ann_detector::inference,"PDF pp.6-8, 11-12 and 14","ARSNN firing defines local sample boundaries and aggregated embeddings handed to several SNN/ANN detector configurations, so role is interface and extent must remain a configuration signature.",fixed fine event cells feed spatial-local adaptive firing intervals; downstream detector uses a separate T=3 model axis,core_intersection,core_intersection,yes,method_coupled,method_coupled,yes,event_interface,event_interface,yes,fully_spiking_task_network;fully_spiking_backbone;hybrid_subnetwork,fully_spiking_task_network;fully_spiking_backbone;hybrid_subnetwork,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
9,14,ICLR2024-0249,EventRPG: Event Data Augmentation with Relevance Propagation Guidance,paper::main::training_analysis,PDF pp.1-6 and 18-19,"SLTRP/SLRP and relevance-guided event augmentation depend jointly on SNN temporal states and event input, but introduce no new inference SNN role.",dataset-specific prepared SNN steps T=10/16; relevance traverses layer-time while augmentation edits event streams,core_intersection,core_intersection,yes,event_specific_training_analysis,event_specific_training_analysis,yes,not_applicable,not_applicable,yes,not_applicable,not_applicable,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
10,07,ICML2025-2762,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,paper::main::inference,PDF pp.4-6 and 13,"MaxViT attention, SpikingMLP, LSTM and STFE jointly form the principal detector, making it a hybrid task network rather than a detachable local SNN module.",dataset-specific 10/50/200 ms event windows become hybrid recurrent network steps,core_intersection,core_intersection,yes,method_coupled,method_coupled,yes,task_network,task_network,yes,hybrid_subnetwork,hybrid_subnetwork,yes,proposed_usable,proposed_usable,yes,no_change,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
